insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('72-2643518', 'Carmen', 'Kinsman', '43', '903 701 1625', '7575305918');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('18-6976767', 'Ya’erya', 'Fair Oaks', '46', '512 102 9386', '3135661777');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('99-5727914', 'Minneapolis', 'Ridge Oak', '31096', '612 664 0002', '9504927837');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('23-9241884', 'Kuningan', 'Everett', '86', '351 213 3892', '1586389231');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('70-2715151', 'Fortios', 'Warbler', '913', '688 795 9643', '5555365554');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('59-2734978', 'Taishihe', 'Steensland', '39', '309 690 0113', '3545928178');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('96-7869506', 'Boljevci', 'Pleasure', '5', '415 907 6086', '5145199578');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('42-8422560', 'Tatariv', 'Meadow Ridge', '984', '764 473 0364', '5718654172');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('77-6920948', 'Nglengkir', 'Corben', '1732', '732 873 9189', '8776041203');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('57-7513912', 'Ramain', 'Stoughton', '327', '261 397 5565', '9654962677');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('46-5213922', 'Sancha', 'Sheridan', '14800', '702 414 2153', '2726866017');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('21-8115660', 'Forino', 'Sullivan', '022', '637 772 3135', '5258669740');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('91-8338623', 'Catende', 'Huxley', '25310', '111 852 8385', '8712236687');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('33-9850211', 'Curitibanos', 'Autumn Leaf', '94', '453 898 7443', '6947660619');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('17-2389135', 'Maebaru', 'Oakridge', '7010', '739 310 5490', '3738393362');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('12-0996044', 'Al Mijlad', 'Mcguire', '3', '573 929 2782', '8201988884');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('17-0503032', 'Jianghai', 'Gale', '4772', '615 347 6129', '8402345046');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('09-1326469', 'Pasirtundun', '4th', '1252', '892 205 5000', '5562975167');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('98-6384343', 'Tangyin', 'Helena', '2239', '774 185 0598', '8625636457');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('98-2297534', 'Mislak', 'Beilfuss', '5172', '998 712 1159', '6023205535');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('29-3305285', 'Greensboro', 'Doe Crossing', '4395', '336 933 0872', '6319852425');
